,id,topic_id,timestamp,data
125,126,6,1643988696653453350,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=648500000))"
126,127,6,1643988696754493058,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=658400000))"
127,128,6,1643988696854617788,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=668400000))"
128,129,1,1643988696898904748,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988696, nanosec=898406854), level=20, name='dc_motor', msg=""Publishing velocity: '369.861633'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
129,130,1,1643988696899177954,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988696, nanosec=898539310), level=20, name='dc_motor', msg=""Publishing current: '10.154296'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
130,131,4,1643988696899347362,std_msgs.msg.Float32(data=369.86163330078125)
131,132,5,1643988696899454298,std_msgs.msg.Float32(data=10.154295921325684)
132,133,6,1643988696955167003,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=678300000))"
133,134,6,1643988697054806514,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=688200000))"
134,135,1,1643988697093689740,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988697, nanosec=93222274), level=20, name='minimal_publisher', msg=""Publishing: '100'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
135,136,3,1643988697093889080,std_msgs.msg.Int32(data=100)
136,137,6,1643988697155236974,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=698100000))"
137,138,6,1643988697255836865,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=708000000))"
138,139,6,1643988697356698475,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=718000000))"
139,140,6,1643988697457345407,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=728100000))"
140,141,6,1643988697557883120,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=738100000))"
141,142,6,1643988697658531827,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=748000000))"
142,143,6,1643988697759089809,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=758000000))"
143,144,6,1643988697859447083,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=768000000))"
144,145,1,1643988697899137358,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988697, nanosec=898467659), level=20, name='dc_motor', msg=""Publishing velocity: '447.699585'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
145,146,1,1643988697899526696,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988697, nanosec=898663540), level=20, name='dc_motor', msg=""Publishing current: '9.764968'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
146,147,4,1643988697899690656,std_msgs.msg.Float32(data=447.6995849609375)
147,148,5,1643988697899808190,std_msgs.msg.Float32(data=9.764967918395996)
148,149,6,1643988697959954949,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=778000000))"
149,150,6,1643988698060324054,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=787900000))"
150,151,1,1643988698094209288,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988698, nanosec=93338197), level=20, name='minimal_publisher', msg=""Publishing: '100'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
151,152,3,1643988698094597024,std_msgs.msg.Int32(data=100)
152,153,6,1643988698160723895,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=797800000))"
153,154,6,1643988698260634537,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=807600000))"
154,155,6,1643988698361552667,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=817500000))"
155,156,6,1643988698461225503,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=827400000))"
156,157,6,1643988698561880428,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=837500000))"
157,158,6,1643988698662259861,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=847500000))"
158,159,6,1643988698762749863,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=857500000))"
159,160,6,1643988698862639682,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=867400000))"
160,161,1,1643988698898938638,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988698, nanosec=898469722), level=20, name='dc_motor', msg=""Publishing velocity: '522.393799'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
161,162,1,1643988698899251241,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988698, nanosec=898588840), level=20, name='dc_motor', msg=""Publishing current: '9.390991'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
162,163,4,1643988698899426943,std_msgs.msg.Float32(data=522.393798828125)
163,164,5,1643988698899586778,std_msgs.msg.Float32(data=9.3909912109375)
164,165,6,1643988698963070955,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=877400000))"
165,166,6,1643988699063737705,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=887600000))"
166,167,1,1643988699093631673,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988699, nanosec=93260046), level=20, name='minimal_publisher', msg=""Publishing: '100'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
167,168,3,1643988699093755741,std_msgs.msg.Int32(data=100)
168,169,6,1643988699164901232,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=897400000))"
169,170,6,1643988699265192210,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=907400000))"
